Body;Emotion
"And true plain hearts do in the faces rest;";Beauty / Joy
Where can we find two better hemispheres,;Beauty / Joy
Without sharp north, without declining west?;Beauty / Joy
"Whatever dies, was not mixed equally;";"Beauty/Joy 
Awe/Sublime"
If our two loves be one, or, thou and I;"Beauty/Joy 
Awe/Sublime"
Love so alike, that none do slacken, none can die.;"Beauty/Joy 
Awe/Sublime"
;
;
Happy the man;
;
Happy the man, and happy he alone,;"Beauty/Joy 
Awe/Sublime"
He who can call today his own:;"Beauty/Joy 
Awe/Sublime"
He who, secure within, can say,;"Beauty/Joy 
Awe/Sublime"
Tomorrow do thy worst, for I have lived today.;"Beauty/Joy 
Awe/Sublime"
Be fair or foul or rain or shine;"Beauty/Joy 
Awe/Sublime"
The joys I have possessed, in spite of fate, are mine.;"Beauty/Joy 
Awe/Sublime"
Not Heaven itself upon the past has power,;"Beauty/Joy 
Awe/Sublime"
But what has been, has been, and I have had my hour.;"Beauty/Joy 
Awe/Sublime"
;
;
ON MR . GAY;
;
"Of Manners gentle , of Affections mild ;";"Beauty/Joy
Vitality"
"In Wit , a Man ; Simplicity , a Child :";"Beauty/Joy
Vitality"
"With native Humour temp""ring virtuous Rage ,";"Beauty/Joy
Vitality"
"Form ""d to delight at once and lash the age :";"Beauty/Joy
Vitality"
Above Temptation , in a low Estate ,;"Beauty/Joy
Vitality"
"And uncorrupted , ev""n among the Great :";"Beauty/Joy
Vitality"
A safe Companion , and an easy Friend ,;"Beauty/Joy
Vitality"
"Unblam ""d thro ’ Life , lamented in thy End .";"Beauty/Joy
Vitality"
These are Thy Honours ! not that here thy Bust;"Beauty/Joy
Vitality"
"Is mix ""d with Heroes , or with Kings thy dust ;";"Beauty/Joy
Vitality"
But that the Worthy and the Good shall say ,;"Beauty/Joy
Vitality"
Striking their pensive bosoms — Here lies GAY .;"Beauty/Joy
Vitality"
;
;
TO —.;
;
Music , when soft voices die ,;Beauty / Joy Sadness
Vibrates in the memory —;Beauty / Joy Sadness
Odours , when sweet violets sicken ,;Beauty / Joy Sadness
Live within the sense they quicken .;Beauty / Joy Sadness
;
Rose leaves , when the rose is dead ,;"Sadness
Beauty / Joy"
"Are heaped for the beloved ""s bed ;";"Sadness
Beauty / Joy"
And so thy thoughts , when thou art gone ,;"Sadness
Beauty / Joy"
Love itself shall slumber on .;"Sadness
Beauty / Joy"
;
;
STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .;
;
The sun is warm , the sky is clear ,;"Beauty/Joy
Vitality"
The waves are dancing fast and bright ,;"Beauty/Joy
Vitality"
Blue isles and snowy mountains wear;"Beauty/Joy
Vitality"
"The purple noon ""s transparent might ,";"Beauty/Joy
Vitality"
The breath of the moist earth is light ,;"Beauty/Joy
Vitality"
"Around its unexpanded buds ;";"Beauty/Joy
Vitality"
Like many a voice of one delight ,;"Beauty/Joy
Vitality"
The winds , the birds , the ocean floods ,;"Beauty/Joy
Vitality"
"The City ""s voice itself , is soft like Solitude ""s .";"Beauty/Joy
Vitality"
;
"I see the Deep ""s untrampled floor";Beauty / Joy
"With green and purple seaweeds strown ;";Beauty / Joy
I see the waves upon the shore ,;Beauty / Joy
Like light dissolved in star  showers , thrown :;Beauty / Joy
I sit upon the sands alone ,—;Beauty / Joy
The lightning of the noontide ocean;Beauty / Joy
Is flashing round me , and a tone;Beauty / Joy
Arises from its measured motion ,;Beauty / Joy
How sweet ! did any heart now share in my emotion .;Beauty / Joy
;
Alas ! I have nor hope nor health ,;Sadness
Nor peace within nor calm around ,;Sadness
Nor that content surpassing wealth;Sadness
The sage in meditation found ,;Sadness
And walked with inward glory crowned —;Sadness
Nor fame , nor power , nor love , nor leisure .;Sadness
Others I see whom these surround —;Sadness/Annoyance
"Smiling they live , and call life pleasure ;—";Sadness/Annoyance
To me that cup has been dealt in another measure .;Sadness/Annoyance
;
Yet now despair itself is mild ,;Sadness
"Even as the winds and waters are ;";Sadness
I could lie down like a tired child ,;Sadness
And weep away the life of care;Sadness
Which I have borne and yet must bear ,;Sadness
Till death like sleep might steal on me ,;Sadness
And I might feel in the warm air;Sadness
My cheek grow cold , and hear the sea;Sadness
"Breathe o""er my dying brain its last monotony .";Sadness
;
Some might lament that I were cold ,;Sadness
As I , when this sweet day is gone ,;Sadness
Which my lost heart , too soon grown old ,;Sadness
"Insults with this untimely moan ;";Sadness
They might lament — for I am one;Sadness
Whom men love not ,— and yet regret ,;Sadness
Unlike this day , which , when the sun;Sadness
Shall on its stainless glory set ,;Sadness
Will linger , though enjoyed , like joy in memory yet .;Sadness
;
;
BREAK , BREAK , BREAK .;
;
Break , break , break ,;Vitality
On thy cold gray stones , O Sea !;Vitality
And I would that my tongue could utter;Vitality
The thoughts that arise in me .;Vitality
;
"O well for the fisherman ""s boy ,";Vitality
That he shouts with his sister at play !;Vitality
O well for the sailor lad ,;Vitality
That he sings in his boat on the bay !;Vitality
;
And the stately ships go on;Vitality
"To their haven under the hill ;";Vitality
"But O for the touch of a vanish ""d hand ,";Vitality
And the sound of a voice that is still !;Vitality
;
Break , break , break ,;Vitality
At the foot of thy crags , O Sea !;Vitality
But the tender grace of a day that is dead;Vitality/Sadness
Will never come back to me .;Vitality/Sadness
;
;
"The White Man""s Burden";
;
"TAKE up the White Man""s burden   ";Uneasiness
Send forth the best ye breed   ;Uneasiness
Go bind your sons to exile;Uneasiness
"To serve your captives"" need;";Uneasiness
To wait in heavy harness;Uneasiness
On fluttered folk and wild   ;Uneasiness
Your new  caught sullen peoples,;Uneasiness
Half devil and half child.;Uneasiness
"Take up the White Man""s burden   ";Uneasiness
In patience to abide;Uneasiness
To veil the threat of terror;Uneasiness
"And check the show of pride;";Uneasiness
By open speech and simple,;Uneasiness
An hundred times made plain,;Uneasiness
"To seek another""s profit,";Uneasiness
"And work another""s gain.";Uneasiness
;
"Take up the White Man""s burden   ";Uneasiness
The savage wars of peace   ;Uneasiness
Fill full the mouth of famine;Uneasiness
"And bid the sickness cease;";Uneasiness
And when your goal is nearest;Uneasiness
The end for others sought,;Uneasiness
Watch Sloth and heathen Folly;Uneasiness
Bring all your hopes to nought.;Uneasiness
;
"Take up the White Man""s burden   ";Uneasiness
No tawdry rule of kings,;Uneasiness
But toil of serf and sweeper   ;Uneasiness
The tale of common things.;Uneasiness
The ports ye shall not enter,;Uneasiness
The roads ye shall not tread,;Uneasiness
Go make them with your living,;Uneasiness
And mark them with your dead !;Uneasiness
;
"Take up the White Man""s burden   ";Uneasiness
And reap his old reward,;Uneasiness
The blame of those ye better,;Uneasiness/Annoyance
The hate of those ye guard   ;Uneasiness/Annoyance
The cry of hosts ye humour;Uneasiness/Annoyance
(Ah slowly !) towards the light:  ;Uneasiness/Annoyance
"Why brought ye us from bondage,	Uneasiness     Annoyance	Vitality     Uneasiness
Our loved Egyptian night ?""";Uneasiness/Annoyance
;
"Take up the White Man""s burden   ";Sadness/Uneasiness
Ye dare not stoop to less   ;Sadness/Uneasiness
Nor call too loud on Freedom;Sadness/Uneasiness
"To cloak your weariness;";Sadness/Uneasiness
By all ye cry or whisper,;Sadness/Uneasiness
By all ye leave or do,;Sadness/Uneasiness
The silent sullen peoples;Sadness/Uneasiness
Shall weigh your Gods and you.;Sadness/Uneasiness
;
"Take up the White Man""s burden   ";Uneasiness/Annoyance
Have done with childish days   ;Uneasiness/Annoyance
The lightly proffered laurel,;Uneasiness/Annoyance
The easy, ungrudged praise.;Uneasiness/Annoyance
Comes now, to search your manhood;Uneasiness/Annoyance
Through all the thankless years,;Uneasiness/Annoyance
Cold  edged with dear  bought wisdom,;Uneasiness/Annoyance
The judgement of your peers.;Uneasiness/Annoyance
;
;
The Way through the Woods;
;
They shut the road through the woods;Sadness
Seventy years ago.;Sadness
Weather and rain have undone it again,;Sadness/Nostalgia
And now you would never know;Sadness/Nostalgia
There was once a road through the woods;Sadness/Nostalgia
Before they planted the trees.;Sadness/Nostalgia
It is underneath the coppice and heath,;Beauty / Joy
And the thin anemones.;Beauty / Joy
Only the keeper sees;Beauty / Joy Nostalgia
That, where the ring  dove broods,;Beauty / Joy Nostalgia
And the badgers roll at ease,;Beauty / Joy Nostalgia
There was once a road through the woods.;Beauty / Joy Nostalgia
;
Yet, if you enter the woods;Beauty / Joy
Of a summer evening late,;Beauty / Joy
When the night  air cools on the trout  ringed pools;Beauty / Joy
Where the otter whistles his mate,;Beauty / Joy
(They fear not men in the woods,;Beauty / Joy
Because they see so few.);Beauty / Joy
You will hear the beat of a horse’s feet,;Beauty / Joy
And the swish of a skirt in the dew,;Beauty / Joy
Steadily cantering through;Beauty / Joy
The misty solitudes,;Beauty / Joy
As though they perfectly knew;Sadness/Nostalgia
The old lost road through the woods.;Sadness/Nostalgia
But there is no road through the woods.;Sadness/Nostalgia
;
;
THE SICK ROSE;
;
O rose , thou art sick !;Sadness/Uneasiness
The invisible worm ,;Sadness/Uneasiness
That flies in the night ,;Sadness/Uneasiness
In the howling storm ,;Sadness/Uneasiness
;
Has found out thy bed;Sadness/Uneasiness
Of crimson joy ,;Sadness/Uneasiness
And his dark secret love;Sadness/Uneasiness
Does thy life destroy .;Sadness/Uneasiness
;
;
A POISON TREE;
;
I was angry with my friend :;Annoyance
I told my wrath , my wrath did end .;Annoyance
I was angry with my foe :;Annoyance
I told it not , my wrath did grow .;Annoyance
;
And I watered it in fears;Annoyance
Night and morning with my tears ,;Annoyance
And I sunned it with smiles;Annoyance
And with soft deceitful wiles .;Annoyance
;
;
Composed Upon Westminster Bridge, September 3, 1802;
;
Earth has not anything to show more fair:;Beauty / Joy     Awe / Sublime
Dull would he be of soul who could pass by;Beauty / Joy     Awe / Sublime
A sight so touching in its majesty:;Beauty / Joy     Awe / Sublime
This City now doth, like a garment, wear;Beauty / Joy
The beauty of the morning: silent, bare,;Beauty / Joy
Ships, towers, domes, theatres, and temples lie;Beauty / Joy
"Open unto the fields, and to the sky;";Beauty / Joy
All bright and glittering in the smokeless air.;Beauty / Joy
Never did sun more beautifully steep;"Beauty/Joy 
Awe/Sublime"
"In his first splendour, valley, rock, or hill;";"Beauty/Joy 
Awe/Sublime"
Ne’er saw I, never felt, a calm so deep!;"Beauty/Joy 
Awe/Sublime"
The river glideth at his own sweet will:;"Beauty/Joy 
Awe/Sublime"
"Dear God! the very houses seem asleep;";"Beauty/Joy 
Awe/Sublime"
And all that mighty heart is lying still!;"Beauty/Joy 
Awe/Sublime"
;
;
The Rainbow;
;
My heart leaps up when I behold;Beauty / Joy
A rainbow in the sky:;Beauty / Joy
"So was it when my life began;";Beauty / Joy Nostalgia
"So is it now I am a man;";Beauty / Joy Nostalgia
So be it when I shall grow old,;Beauty / Joy
Or let me die!;Beauty / Joy
"The Child is father of the Man;";"Vitality 
Beauty / Joy"
And I could wish my days to be;"Vitality 
Beauty / Joy"
Bound each to each by natural piety.;"Vitality 
Beauty / Joy"
;
;
Grief;
;
"I tell you, hopeless grief is passionless;";Sadness
That only men incredulous of despair,;Sadness
Half  taught in anguish, through the midnight air;Sadness
Beat upward to God’s throne in loud access;Sadness
Of shrieking and reproach. Full desertness,;Sadness
In souls as countries, lieth silent  bare;Sadness
Under the blanching, vertical eye  glare;Sadness
Of the absolute heavens. Deep  hearted man, express;Sadness
Grief for thy dead in silence like to death—;Sadness
Most like a monumental statue set;Sadness
In everlasting watch and moveless woe;Sadness
Till itself crumble to the dust beneath.;Sadness
"Touch it; the marble eyelids are not wet:";Sadness
If it could weep, it could arise and go.;Sadness
;
;
Sonnet XXIV;
;
"Let the world ""s sharpness , like a clasping knife ,";Beauty / Joy
Shut in upon itself and do no harm;Beauty / Joy
In this close hand of Love , now soft and warm ,;Beauty / Joy
And let us hear no sound of human strife;Beauty / Joy
After the click of the shutting . Life to life —;Beauty / Joy
I lean upon thee , Dear , without alarm ,;Beauty / Joy
And feel as safe as guarded by a charm;Beauty / Joy
Against the stab of worldlings , who if rife;Beauty / Joy
Are weak to injure . Very  whitely still;Beauty / Joy
The lilies of our lives may reassure;Beauty / Joy
Their blossoms from their roots , accessible;Beauty / Joy
Alone to heavenly dews that drop not fewer;Beauty / Joy
"Growing straight , out of man ""s reach , on the hill .";Beauty / Joy
God only , who made us rich , can make us poor .;Awe / Sublime
;
;
AH, how sweet it is to love!;
;
AH, how sweet it is to love!;Vitality
Ah, how gay is young Desire!;Vitality
And what pleasing pains we prove;Vitality
"When we first approach Love""s fire!";Vitality
Pains of love be sweeter far;Vitality
Than all other pleasures are.;Vitality
;
Sighs which are from lovers blown;Beauty / Joy
Do but gently heave the heart:;Beauty / Joy
"Ev""n the tears they shed alone";Beauty / Joy
Cure, like trickling balm, their smart:;Beauty / Joy
Lovers, when they lose their breath,;Beauty / Joy
Bleed away in easy death.;Beauty / Joy
;
Love and Time with reverence use,;Beauty / Joy Sadness
"Treat them like a parting friend;";Beauty / Joy Sadness
Nor the golden gifts refuse;Beauty / Joy Sadness
Which in youth sincere they send:;Beauty / Joy Sadness
For each year their price is more,;Beauty / Joy Sadness
And they less simple than before.;Beauty / Joy Sadness
;
Love, like spring  tides full and high,;Sadness
"Swells in every youthful vein;";Sadness
But each tide does less supply,;Sadness
Till they quite shrink in again:;Sadness
If a flow in age appear,;Sadness
"Tis but rain, and runs not clear.	Sadness	Sadness


A SONG FOR ST CECILIA S DAY";
;
FROM harmony , from heavenly harmony;Awe / Sublime
This universal frame began :;Awe / Sublime
When nature underneath a heap;Awe / Sublime
Of jarring atoms lay ,;Awe / Sublime
And could not heave her head ,;Awe / Sublime
The tuneful voice was heard from high ,;Awe / Sublime
Arise , ye more than dead .;Awe / Sublime
Then cold , and hot , and moist , and dry ,;Awe / Sublime
In order to their stations leap ,;Awe / Sublime
"And Music ""s power obey .";Awe / Sublime
From harmony , from heavenly harmony;Awe / Sublime
This universal frame began :;Awe / Sublime
From harmony to harmony;Awe / Sublime
Through all the compass of the notes it rail ,;Awe / Sublime
The diapason closing full in Man .;Awe / Sublime
;
What passion cannot Music raise and quell ?;Beauty / Joy
When Jubal struck the chorded shell ,;"Suspense 
Beauty / Joy"
His listening brethren stood around ,;"Suspense 
Beauty / Joy"
And , wondering , on their faces fell;"Suspense 
Beauty / Joy"
To worship that celestial sound .;"Suspense 
Beauty / Joy"
Less than a God they thought there could not dwell;Beauty / Joy
Within the hollow of that shell ,;Beauty / Joy
That spoke so sweetly and so well .;Beauty / Joy
What passion cannot Music raise and quell ?;Beauty / Joy
;
"The trumpet ""s loud clangour";Vitality
Excites us to arms ,;Vitality
With shrill notes of anger ,;"Vitality 
Uneasiness"
And mortal alarms .;"Vitality 
Uneasiness"
The double double double beat;"Vitality 
Uneasiness"
Of the thundering drum;"Vitality 
Uneasiness"
"Cries , hark ! the foes come ;";"Vitality 
Uneasiness"
"Charge , charge ! "" tis too late to retreat .";"Vitality 
Uneasiness"
;
The soft complaining flute;Sadness
In dying notes discovers;Sadness
The woes of hopeless lovers ,;Sadness
"Whose dirge is whisper ""d by the warbling lute .";Sadness
;
Sharp violins proclaim;Uneasiness
Their jealous pangs , and desperation ,;Uneasiness
Fury , frantic indignation ,;Uneasiness
Depth of pains , and height of passion ,;Uneasiness
For the fair , disdainful dame .;Uneasiness
;
But oh ! what art can teach ,;Beauty / Joy
What human voice can reach ,;Beauty / Joy
"The sacred organ ""s praise ?";Beauty / Joy
Notes inspiring holy love ,;Awe / Sublime
Notes that wing their heavenly ways;Awe / Sublime
To mend the choirs above .;Awe / Sublime
;
"Orpheus could lead the savage race ;";Beauty / Joy
And trees uprooted left their place ,;Beauty / Joy
Sequacious of the lyre :;Beauty / Joy
But bright Cecilia raised the wonder higher :;Beauty / Joy
When to her organ vocal breath was given ,;Beauty / Joy
"An angel heard , and straight appear ""d ,";Beauty / Joy     Awe / Sublime
Mistaking earth for heaven .;Beauty / Joy     Awe / Sublime
;
;
MUTABILITY .;
;
The flower that smiles to  day;Sadness
"To  morrow dies ;";Sadness
All that we wish to stay;Sadness
Tempts and then flies .;Sadness
"What is this world ""s delight ?";Sadness
Lightning that mocks the night ,;Sadness
Brief even as bright .;Sadness
;
Virtue , how frail it is !;Sadness
Friendship how rare !;Sadness
Love , how it sells poor bliss;Sadness
For proud despair !;Sadness
But we , though soon they fall ,;Sadness
Survive their joy , and all;Sadness
Which ours we call .;Sadness
;
Whilst skies are blue and bright ,;Vitality
Whilst flowers are gay ,;Vitality
Whilst eyes that change ere night;Vitality
"Make glad the day ;";Vitality
Whilst yet the calm hours creep ,;Sadness
Dream thou — and from thy sleep;Sadness
Then wake to weep .;Sadness
John Anderson , my jo , John ,;Beauty / Joy Nostalgia
"When we were first acquent ;";Beauty / Joy Nostalgia
Your locks were like the raven ,;Beauty / Joy Nostalgia
"Your bonie brow was brent ;";Beauty / Joy Nostalgia
But now your brow is beld , John ,;Beauty / Joy
"Your locks are like the snaw ;";Beauty / Joy
But blessings on your frosty pow ,;Beauty / Joy
John Anderson , my jo .;Beauty / Joy
John Anderson , my jo , John ,;Beauty / Joy
"We clamb the hill thegither ;";Beauty / Joy
And mony a cantie day , John ,;Beauty / Joy
"We ""ve had wi ’ ane anither :";Beauty / Joy
Now we maun totter down , John ,;Beauty / Joy
"And hand in hand we ""ll go ,";Beauty / Joy
And sleep thegither at the foot ,;Beauty / Joy
John Anderson , my jo .;Beauty / Joy
Sonnet CXXIX;
The expense of spirit in a waste of shame;Uneasiness
Is lust in action : and till action , lust;Uneasiness
"Is perjur ""d , murderous , bloody , full of blame ,";Uneasiness
"Savage , extreme , rude , cruel , not to trust ;";Uneasiness
"Enjoy ""d no sooner but despised straight ;";Uneasiness
"Past reason hunted ; and no sooner had ,";Uneasiness
"Past reason hated , as a swallow ""d bait ,";Uneasiness
On purpose laid to make the taker mad :;Uneasiness
"Mad in pursuit and in possession so ;";Sadness
"Had , having , and in quest , to have extreme ;";Sadness
"A bliss in proof ,— and prov ""d , a very woe ;";Sadness
"Before , a joy propos ""d ; behind a dream .";Sadness
"All this the world well knows ; yet none knows well";Sadness
To shun the heaven that leads men to this hell .;Sadness
The Passionate Pilgrim I .;
When my love swears that she is made of truth ,;Sadness
I do believe her , though I know she lies ,;Sadness
"That she might think me some untutor ""d youth ,";Sadness
"Unskilful in the world ""s false forgeries ,";Sadness
Thus vainly thinking that she thinks me young ,;Sadness
Although I know my years be past the best ,;Sadness
I smiling credit her false  speaking tongue ,;Sadness
"Outfacing faults in love with love ""s ill rest .";Sadness
But wherefore says my love that she is young ?;Beauty / Joy
And wherefore say not I that I am old ?;Beauty / Joy
"O , love ""s best habit is a soothing tongue ,";Beauty / Joy
And age , in love , loves not to have years told .;Beauty / Joy
"Therefore , I ""ll lie with love , and love with me ,";Beauty / Joy
"Since that our faults in love thus smother ""d be .";Beauty / Joy
Crossing the Bar;
Sunset and evening star,;Beauty / Joy
And one clear call for me!;Beauty / Joy
And may there be no moaning of the bar,;Beauty / Joy
When I put out to sea,;Beauty / Joy
But such a tide as moving seems asleep,;Beauty / Joy
Too full for sound and foam,;Beauty / Joy
When that which drew from out the boundless deep;Beauty / Joy
Turns again home.;Beauty / Joy
Twilight and evening bell,;Sadness
And after that the dark!;Sadness
And may there be no sadness of farewell,;Sadness
"When I embark;";Sadness
For tho’ from out our bourne of Time and Place;Beauty / Joy
The flood may bear me far,;Beauty / Joy
I hope to see my Pilot face to face;Beauty / Joy
When I have crost the bar.;Beauty / Joy
THE TYGER;
Tyger , tyger , burning bright;Beauty / Joy
In the forests of the night ,;Beauty / Joy
What immortal hand or eye;Beauty / Joy     Awe / Sublime
Could frame thy fearful symmetry ?;Beauty / Joy     Awe / Sublime
;
In what distant deeps or skies;Beauty / Joy
Burnt the fire of thine eyes ?;Beauty / Joy
On what wings dare he aspire ?;Beauty / Joy
What the hand dare seize the fire ?;Beauty / Joy
;
And what shoulder and what art;Uneasiness
Could twist the sinews of thy heart ?;Uneasiness
And , when thy heart began to beat ,;Uneasiness
What dread hand and what dread feet ?;Uneasiness
;
What the hammer ? what the chain ?;Uneasiness
In what furnace was thy brain ?;Uneasiness
What the anvil ? what dread grasp;Uneasiness
Dare its deadly terrors clasp ?;Uneasiness
;
When the stars threw down their spears ,;Awe / Sublime
And watered heaven with their tears ,;Awe / Sublime
Did he smile his work to see ?;Awe / Sublime
Did he who made the lamb make thee ?;Awe / Sublime
;
Tyger , tyger , burning bright;Beauty / Joy
In the forests of the night ,;Beauty / Joy
What immortal hand or eye;Beauty / Joy     Awe / Sublime
Dare frame thy fearful symmetry ?;Beauty / Joy     Awe / Sublime
;
;
Leda and the Swan;
;
A sudden blow: the great wings beating still;Suspense
Above the staggering girl, her thighs caressed;Uneasiness
By the dark webs, her nape caught in his bill,;Uneasiness
He holds her helpless breast upon his breast.;Uneasiness
;
How can those terrified vague fingers push;Uneasiness
The feathered glory from her loosening thighs?;Uneasiness
And how can body, laid in that white rush,;Uneasiness
But feel the strange heart beating where it lies?;Uneasiness
;
A shudder in the loins engenders there;Uneasiness
The broken wall, the burning roof and tower;Uneasiness
And Agamemnon dead. Being so caught up,;Uneasiness
So mastered by the brute blood of the air,;Uneasiness
Did she put on his knowledge with his power;Uneasiness
Before the indifferent beak could let her drop?;Uneasiness
;
;
THE CHARGE OF THE LIGHT BRIGADE .;
;
Half a league , half a league ,;Uneasiness
Half a league onward ,;Uneasiness
All in the valley of Death;Uneasiness
Rode the six hundred .;Uneasiness
‘ Forward , the Light Brigade ! ’;Uneasiness     Suspense
‘ Charge for the guns ! ’ he said :;Uneasiness     Suspense
Into the valley of Death;Uneasiness     Suspense
Rode the six hundred .;Uneasiness     Suspense
;
‘ Forward , the Light Brigade ! ’;Uneasiness
"Was there a man dismay ""d ?";Uneasiness
Not tho ’ the soldier knew;Uneasiness
"Some one had blunder ""d :";Uneasiness
"Their ""s not to make reply ,";Uneasiness
"Their ""s not to reason why ,";Uneasiness
"Their ""s but to do and die :";Uneasiness
Into the valley of Death;Uneasiness
Rode the six hundred .;Uneasiness
;
Cannon to right of them ,;Uneasiness     Vitality
Cannon to left of them ,;Uneasiness     Vitality
Cannon in front of them;Uneasiness     Vitality
"Volley ""d and thunder ""d ;";Uneasiness     Vitality
"Storm ""d at with shot and shell ,";Uneasiness     Vitality
Boldly they rode and well ,;Uneasiness
Into the jaws of Death ,;Uneasiness
Into the mouth of Hell;Uneasiness
Rode the six hundred .;Uneasiness
;
"Flash ""d all their sabres bare ,";Uneasiness
"Flash ""d as they turn ""d in air ,";Uneasiness
Sabring the gunners there ,;Uneasiness
Charging an army , while;Uneasiness
"All the world wonder ""d :";Uneasiness
Plunged in the battery  smoke;Uneasiness
"Right thro ’ the line they broke ;";Uneasiness
Cossack and Russian;Uneasiness
"Reel ""d from the sabre  stroke";Uneasiness
"Shatter ""d and sunder ""d .";Uneasiness
Then they rode back , but not;Uneasiness
Not the six hundred .;Uneasiness
;
Cannon to right of them ,;Uneasiness     Vitality
Cannon to left of them ,;Uneasiness     Vitality
Cannon behind them;Uneasiness     Vitality
"Volley ""d and thunder ""d ;";Uneasiness     Vitality
"Storm ""d at with shot and shell ,";Uneasiness     Vitality
While horse and hero fell ,;Uneasiness
They that had fought so well;Uneasiness
Came thro ’ the jaws of Death ,;Uneasiness
Back from the mouth of Hell ,;Uneasiness
All that was left of them ,;Uneasiness
Left of six hundred .;Uneasiness
;
When can their glory fade ?;Vitality
O the wild charge they made !;Vitality
All the world wondered .;Vitality
Honor the charge they made !;Vitality
Honor the Light Brigade ,;Vitality
Noble six hundred !;Vitality
;
;
THE MYSTERY OF PAIN .;
;
"Pain has an element of blank ;";Sadness
It cannot recollect;Sadness
When it began , or if there were;Sadness
A day when it was not .;Sadness
;
It has no future but itself ,;Sadness
Its infinite realms contain;Sadness
Its past , enlightened to perceive;Sadness
New periods of pain .;Sadness
;
;
I taste a liquor never brewed;
;
I taste a liquor never brewed ,;Beauty / Joy     Vitality
"From tankards scooped in pearl ;";Beauty / Joy     Vitality
Not all the vats upon the Rhine;Beauty / Joy     Vitality
Yield such an alcohol !;Beauty / Joy     Vitality
;
Inebriate of air am I ,;Beauty / Joy
And debauchee of dew ,;Beauty / Joy
Reeling , through endless summer days ,;Beauty / Joy
From inns of molten blue .;Beauty / Joy
;
When landlords turn the drunken bee;Beauty / Joy     Vitality
"Out of the foxglove ""s door ,";Beauty / Joy     Vitality
When butterflies renounce their drams ,;Beauty / Joy     Vitality
I shall but drink the more !;Beauty / Joy     Vitality
;
Till seraphs swing their snowy hats ,;Beauty / Joy     Vitality
And saints to windows run ,;Beauty / Joy     Vitality
To see the little tippler;Beauty / Joy     Vitality
Leaning against the sun !;Beauty / Joy     Vitality
;
;
Bright star, would I were stedfast as thou art  ”;
;
Bright star, would I were stedfast as thou art—;Awe / Sublime
Not in lone splendour hung aloft the night;Awe / Sublime
And watching, with eternal lids apart,;Awe / Sublime
Like nature’s patient, sleepless Eremite,;Awe / Sublime
The moving waters at their priestlike task;Beauty / Joy
Of pure ablution round earth’s human shores,;Beauty / Joy
Or gazing on the new soft  fallen mask;Beauty / Joy
Of snow upon the mountains and the moors—;Beauty / Joy
No—yet still stedfast, still unchangeable,;Beauty / Joy
Pillow’d upon my fair love’s ripening breast,;Beauty / Joy
To feel for ever its soft fall and swell,;Beauty / Joy
Awake for ever in a sweet unrest,;Beauty / Joy
Still, still to hear her tender  taken breath,;Beauty / Joy
And so live ever—or else swoon to death.;Beauty / Joy     Sadness
;
;
On Seeing the Elgin Marbles”;
;
My spirit is too weak—mortality;Sadness
Weighs heavily on me like unwilling sleep,;Sadness
